golden_id,source_customer_tweet_id,customer_author_id,customer_text,brand_tweet_id,brand_response,thread_type,assigned_intent,ambiguity_flag,competing_intents,labeling_rationale
gold_001,2519404,717646,Just installed latest update to my Mac. It froze. Now it’s got a no-entry sign. Not impressed. What’s next ? Apart from this https://t.co/WYxh6HLwBj,2519402,Let's get your Mac working again. What happens when you try to restart it? Did this issue start immediately after the update completed?,2_turns (Initial Q&A),SOFTWARE_OS_UPDATE,False,none,Unambiguous query displaying clear symptoms belonging to SOFTWARE_OS_UPDATE.
gold_002,2350747,468491,"Why is it ok that my iPhone6 worked fine before IOS11, yet now it’s incredibly buggy and slow...constant app crashes. why have you broken my phone?! It worked fine!",2350746,We want to help. Reach out via DM using the link below and let us know what version of iOS 11 you're using. https://t.co/GDrqU22YpT,2_turns (Initial Q&A),SOFTWARE_OS_UPDATE,False,none,Unambiguous query displaying clear symptoms belonging to SOFTWARE_OS_UPDATE.
gold_003,550693,248287,my iPhone won’t stop rebooting every 30 seconds! Driving me insane!!,550691,"We know that the performance of your device is important and we'll do everything we can to resolve this. To get started, let's update to iOS 11.2 to resolve the restart issue. Here's the link below: https://t.co/osZOKKTalm",2_turns (Initial Q&A),SOFTWARE_OS_UPDATE,False,none,Unambiguous query displaying clear symptoms belonging to SOFTWARE_OS_UPDATE.
gold_004,411457,213147,"everything runs slow, text, pics, and emails seem to freeze. I'm using 11.0.2",411459,Got it! Let's follow up in DM. Tell us which model iPhone you're using there. https://t.co/GDrqU22YpT,3+_turns (Follow-up Thread),SOFTWARE_OS_UPDATE,False,none,Unambiguous query displaying clear symptoms belonging to SOFTWARE_OS_UPDATE.
gold_005,1586899,488179,thanks for forcing me to update my phone by turning all my “I️”s into question mark boxes. Love y’all.,1586898,"Thanks for reaching out. This article has more details on that behavior, including how to address it: https://t.co/xXaXeeSRt9",2_turns (Initial Q&A),SOFTWARE_OS_UPDATE,False,none,Unambiguous query displaying clear symptoms belonging to SOFTWARE_OS_UPDATE.
gold_006,1757748,529197,I️ I️ I️ I️ I️ I️ I️ hate this freaking update,1757747,Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,2_turns (Initial Q&A),SOFTWARE_OS_UPDATE,False,none,Unambiguous query displaying clear symptoms belonging to SOFTWARE_OS_UPDATE.
gold_007,1875105,559771,I can’t find how to turn of auto brightness on my 6plus iOS 11.0.3 where did the option go,1875103,Hi there! You can turn auto-brightness on or off in Settings &gt; General &gt; Accessibility &gt; Display Accommodations. https://t.co/GDrqU22YpT,2_turns (Initial Q&A),SOFTWARE_OS_UPDATE,False,none,Unambiguous query displaying clear symptoms belonging to SOFTWARE_OS_UPDATE.
gold_008,1903681,567313,nuevo parche de IOS y Apple Music dejo de funcionar ...,1903679,We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,2_turns (Initial Q&A),SOFTWARE_OS_UPDATE,False,none,Unambiguous query displaying clear symptoms belonging to SOFTWARE_OS_UPDATE.
gold_009,792150,308888,"Every app, function and feature that is ‘the phone’ is now slower, takes longer to load, is unresponsive, crashes or freezes.",792152,Let's look closer. Here's a link to DM us. https://t.co/GDrqU22YpT,3+_turns (Follow-up Thread),SOFTWARE_OS_UPDATE,False,none,Unambiguous query displaying clear symptoms belonging to SOFTWARE_OS_UPDATE.
gold_010,2547188,723914,hey it would be really nice if you could fix your fucking software so my phone didn’t freeze every 5 minutes whenever I try to use my fucking phone :-),2547186,"We definitely don't want your phone to be unresponsive or anything like that. We'll be happy to see how we can help. So we have a better idea of what's going on, can you tell us which iPhone and iOS version you're using?",2_turns (Initial Q&A),SOFTWARE_OS_UPDATE,False,none,Unambiguous query displaying clear symptoms belonging to SOFTWARE_OS_UPDATE.
gold_011,848431,321624,"Your new update is terrible, does nothing but freeze phone to point has to be turned on and off multiple times a day. Terrible.",848430,"Thanks for reaching out to us. Please send us a DM your iOS version, and we'll go from there. https://t.co/GDrqU22YpT",2_turns (Initial Q&A),SOFTWARE_OS_UPDATE,False,none,Unambiguous query displaying clear symptoms belonging to SOFTWARE_OS_UPDATE.
gold_012,549695,248008,I’ve updated my phone with the new software 11.2 and I don’t see the Apple Pay cash feature!! It clearly mentioned it in the update notes. Where is it?,549694,"Hello again, we know you're excited for Apple Pay Cash. iOS 11.2 does introduce the feature, but isn't active just yet. Thank you for your patience. If you have more questions DM us. https://t.co/GDrqU22YpT",2_turns (Initial Q&A),SOFTWARE_OS_UPDATE,False,none,Unambiguous query displaying clear symptoms belonging to SOFTWARE_OS_UPDATE.
gold_013,2533257,720890,My iMessage has been crashing for like over 12 hours now and I'm about to start getting dramatic about it WHYYYYY,2533255,"What version of iOS are you currently running? Also, what happens after restarting your device? Let us know.",2_turns (Initial Q&A),SOFTWARE_OS_UPDATE,False,none,Unambiguous query displaying clear symptoms belonging to SOFTWARE_OS_UPDATE.
