golden_id,customer_query,generated_response,human_relevance_score_1_to_5,human_grounding_score_1_to_5,human_actionability_score_1_to_5,human_unsupported_claim_flag_0_or_1,human_tone_score_1_to_5
gold_117,upgraded my 6s and now it’s sucking the life out of my battery - what gives? #notanimprovement,We know how important battery life is. Please send us a Direct Message (DM) so we can look into this with you.,,,,,
gold_007,I can’t find how to turn of auto brightness on my 6plus iOS 11.0.3 where did the option go,"We'd like to help get your software running smoothly. Take a look at the steps in this article, which should help: https://t.co/bkqEVCrK2l",,,,,
gold_057,WHY THE FUCK ALL MY I️’S MESSED UP??? TF APPLE.,"We want to help get this sorted out. Take a look at the steps in this article, which should help: https://t.co/qODbOsp4wz",,,,,
gold_098,"So my phone died and it's been charging for 20, it won't turn back on. What do I dooooooo",We know how important battery life is. Please send us a Direct Message (DM) so we can look into this with you.,,,,,
gold_018,"I’ve updated my phone, but I’m still seeing boxed question marks in place of emojis... ???","We'd like to help get your software running smoothly. Take a look at the steps in this article, which should help: https://t.co/xXaXeeSRt9",,,,,
gold_064,Wish I could seamlessly activate my phone,"We want to help get this sorted out. Take a look at the steps in this article, which should help: https://t.co/xXaXeeSRt9",,,,,
gold_100,my phone battery is awful and my phone keeps glitching! Fix this,We know how important battery life is. Could you reply with your current iOS version and exactly when this started happening?,,,,,
gold_094,battery seriously draining since the 11.0.2 update. Please help this can’t continue,We know how important battery life is. Please send us a Direct Message (DM) so we can look into this with you.,,,,,
gold_067,every time I️ type “ I️ “ that comes out... what do I do?,"We want to help get this sorted out. Take a look at the steps in this article, which should help: https://t.co/KKHbRRkCpI",,,,,
gold_019,"How about you fix my 6 Plus? Ever since I downloaded IOS 11, and then the updates, it’s been going crazy. So close to over it.","We'd like to help get your software running smoothly. Take a look at the steps in this article, which should help: https://t.co/xXaXeeSRt9",,,,,
gold_144,once again my iPhone7 wifi is not working :(,"We want to help get this sorted out. Take a look at the steps in this article, which should help: https://t.co/bivpdfBNJ6",,,,,
gold_050,Anyone know why #applewatch mile splits have gone missing? https://t.co/O0TMMBl955,"We want to help get this sorted out. Take a look at the steps in this article, which should help: https://t.co/IBIY3vMgPj",,,,,
gold_122,"your new iOS fucked up big time, what’s the point of having the control centre if the WiFi doesn’t switch off? https://t.co/Wfgi3Mb1iP",We want to help get this sorted out. Could you reply with your current iOS version and exactly when this started happening?,,,,,
gold_183,I didn't buy a damn iPhone for it to respring everytime I tap on the screen. Get your shit together. #iPhone #Respring #SoftReboot,"We want to help get this sorted out. Take a look at the steps in this article, which should help: https://t.co/xXaXeeSRt9",,,,,
gold_028,Why tf am I seeing question marks in boxes 🙄😑🤦🏽‍♀️ my phone is updated...,"We'd like to help get your software running smoothly. Take a look at the steps in this article, which should help: https://t.co/xXaXeeSRt9",,,,,
gold_002,"Why is it ok that my iPhone6 worked fine before IOS11, yet now it’s incredibly buggy and slow...constant app crashes. why have you broken my phone?! It worked fine!",We'd like to help get your software running smoothly. Please send us a Direct Message (DM) so we can look into this with you.,,,,,
gold_102,"hey, is there any way too see if the battery of my iPhone is bad? Like a test o something like that",We know how important battery life is. Please send us a Direct Message (DM) so we can look into this with you.,,,,,
gold_038,"Dear , my phone was literally crackling while doing the 11.1 update but hey, my “it” problem has been fixed.",We'd like to help get your software running smoothly. Please send us a Direct Message (DM) so we can look into this with you.,,,,,
gold_118,I just got my phone and my charger stopped working... what’s the deal...??,We know how important battery life is. Could you reply with your current iOS version and exactly when this started happening?,,,,,
gold_076,why is my facetime not working on my mac??? what could i do to fix it?,"We want to help get this sorted out. Take a look at the steps in this article, which should help: https://t.co/qODbOsp4wz",,,,,
